Summary,Assignee,Reporter,Issue Type,Priority,Description,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
"Review Owned Dashboard comps + advise on any API limitations",eerkmen,ahumphrey,Development,Highest,"@Emre Erkmen @Noel Broda Following our review of the remaining screens this morning, find attached the PDF of the Owned Dashboard designs we walked through (pages 2 and 5 for owned). 
[MAR_M-Live-Dashboard_VisualDesign_2.2.pdf](https://github.com/MAARK/mar-mlive-dashboard/files/2329447/MAR_M-Live-Dashboard_VisualDesign_2.2.pdf)

As discussed, the next step is for you to review metrics and data points in the designs and make sure there aren't any red flags based on what we can get from Sprinklr/Twitter direct APIs. Specifically:

**Owned Dashboard**
- [ ] Are we able to pull engagement metrics, post content etc. needed for IG posts from Marriott's owned channels? This is something we will need to confirm with Sprinklr's tech team.
- [ ] If we have to go the Twitter only route, what/if any are the limitations we should be aware of using the direct Twitter API (you mentioned not being able to get 'reach' metric as an example on the call)?
- [ ] Confirm there aren't any issues getting the overall social metrics outlined in designs via Sprinklr API?
- [ ] Assumptions for the dashboard settings is the user will be able to filter the feed in the dashboard by (a) Owned brand channels (i.e. @marriottrewards or @WHotels etc.), (b) Social networks (Twitter or Instagram), (c) Keyword, (d) date range (e) Language (if possible). Advise if you see any issues with any of these requirements? **NOTE**: @Brian Weaver will work on finalizing the comps for these.
- [ ] Current assumption was we only needed 2 calls every 30 seconds for this dashboard (if we're going through Sprinklr). We will need this validated or amended if we end up going this route.

Once we have these answers we'll be able to finalize the comps for you. Reach out if with questions or if you need anything.","31/Aug/18 8:37 am; eerkmen; @Alan Humphrey :

Here are some notes and questions: (They are not necesseraliy aligned with the order above)

1. It looks like we can get Instagram data from Sprinklr again. But I can not vouch for the data integrity. We'll have to do a prototype implementation to be sure.

2. For filtering, they can be done, but full text search (hashtag search) can be slow in some cases.

3. Will we monitor just the owned posts, or replies as well?

4. In an owned context, what would the engagement rate mean? (The flaming number)

5. It looks like we're going to monitor about 30 accounts per social channel. I think 1 query per 30 seconds will be enough to get the latest data, if we're to monitor just Marriotts posts and not the replies.

6. It looks like we're going with Sprinklr to get all the data (still going to check with Rich on this), so we can do about a 10 query run one time to get the older data for the owned feed.

7. In that case we need to figure out a new topic that will give us exactly this result through queries. Meaning they should either themselves create or help us create the topic that has the necessary query that filters everything other than Marriott accounts.

8. Is the YouTube card still relevant?","04/Sep/18 9:33 am; ahumphrey; Thanks @Emre Erkmen. My responses to your questions below:
1. Understood
2. How slow are we talking about?
3. Just Owned posts
4. @michaeledowd to provide this per ticket #212 
5. I'm estimating the number of channels to be closer to 80, but I will confirm this with client (see link below to the spreadsheets provided to us. I've highlighted the Twitter and IG accounts)
6. Ok, so 10 queries to start up and the 1 query every 30 seconds to refresh (assuming the higher number of accounts I mentioned in point 5 doesn't change this)? https://www.dropbox.com/sh/3cb2v9z392blzfs/AAAb31wHTANbOiwhuP_GNNs-a?dl=0
7. Once you confirm with Rich we are using Sprinklr for Owned, I would have them set this up on their end.
8. No YouTube in this phase 1 rollout","04/Sep/18 10:04 am; eerkmen; @Alan Humphrey, partial response:

2. I think they should be able to get the results in a second or so. But this will get worse and worse as we accumulate hundreds of thousands of posts. If they need a filter as you type of thing, that's most probably out of question unless we create a separate search server via Lucene or some other tech, which should take about 1-2 weeks. 

3. I'm still trying to see if we can use mar-social (our Twitter monitor)

6. Exactly.","04/Sep/18 11:20 am; eerkmen; @Alan Humphrey 

7. We will go with Sprinklr. Can you please let Marriott know so that they can set the topic up. Thanks!","04/Sep/18 12:29 pm; ahumphrey; @Emre Erkmen ok, just sent a follow up email. Will let you know as soon as I hear. Thanks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Review Earned Dashboard comps + advise on any API limitations",eerkmen,ahumphrey,Development,Highest,"@Emre Erkmen @Noel Broda Find attached the PDF of the **Earned Dashboard** designs we walked through (pages 9 and 10).
[MAR_M-Live-Dashboard_VisualDesign_2.2.pdf](https://github.com/MAARK/mar-mlive-dashboard/files/2329042/MAR_M-Live-Dashboard_VisualDesign_2.2.pdf)

Please review metrics and data points in the designs and advise if you see any red flags based on what's available in the APIs. Specifically:

**Earned Dashboard**
_Twitter ONLY for feeds and metrics_
- [ ] Confirm there aren't any issues getting the overall social metrics outlined in designs via Sprinklr API?
- [ ] Per ticket #206 we need to confirm whether Sprinklr's `Influencer Score` metric is suitable for our earned advocate score (how it's calculated and if it's based on historical data vs. individual post).  
- [ ] Marriott will set up a single giant query in Sprinklr with all possible terms they'd possibly want pulled into the earned feed. **NOTE**: assume they will be tweaking this on an ongoing basis. The user will then be able to filter the feed in the dashboard by (a) Keywords (e.g. `W Boston` or `#WDubaiThePalm`), (b) date range (for posts pulling in), (e) Language (if possible - use case for regions especially). Advise if you see any issues with this?
- [ ] Assumption was we only needed 2 calls every 30 seconds for this dashboard (if we're going through Sprinklr). We will need this validated or amended if we end up going this route.

Again, let me know if you have questions.","29/Aug/18 3:10 pm; ahumphrey; @Emre Erkmen @Rich Wagner In addition to my earlier post above, I need your help to confirm with Sprinklr's tech team that we can indeed pull in the IG content and data as outlined in this slide:
<img width='1871' alt='public-personal-ig-data' src='https://user-images.githubusercontent.com/35970545/44809517-e7fa7980-ab9c-11e8-8fc6-3f507d1dadea.png'>

Matthew wants to put IG back on the table for earned if we can get this content/data. We would obviously want you guys to test this out with live data before confirming definitively, but I'd want an hours level of effort from you to do this... it will need to be added to the extra funds we're asking for.","31/Aug/18 8:45 am; eerkmen; @Alan Humphrey I'm seeing Instagram data when I include it as a channel in the queries. I can not however vouch for its integrity or if we're getting enough posts for it to matter.. If you like I can switch it on on the staging server and let you see for yourself.","31/Aug/18 9:46 am; eerkmen; @Alan Humphrey `Marriott will set up a single giant query in Sprinklr with all possible terms they'd possibly want pulled into the earned feed. NOTE: assume they will be tweaking this on an ongoing basis. The user will then be able to filter the feed in the dashboard by (a) Keywords (e.g. W Boston or #WDubaiThePalm), (b) date range (for posts pulling in), (e) Language (if possible - use case for regions especially). Advise if you see any issues with this?` -> we're not getting a language from the Sprinklr posts unfortunately. For other filtering answers see #209 

Other than these, the only problem I see with having a huge topic query would be the 100 posts per page limit. We might have to traverse 2 or 3 pages if the traffic is high. How soon can they get a topic like that for us test?","04/Sep/18 9:14 am; ahumphrey; @Emre Erkmen I reached out again to the client re getting the Earned query set up in Sprinklr and this is still in works. Best case scenario would be by end of the week, but more realistic would be the following week (I'm pushing them every few days). Could we do the testing without the query or we need the actual query? ","04/Sep/18 9:57 am; eerkmen; @Alan Humphrey we need that query to see how many incoming messages are there and how many pages should we process, which would affect the Sprinklr quota usage.","04/Sep/18 9:57 am; eerkmen; @Alan Humphrey I think I can mock them up with an existing topic, but sooner the better for the actual query.","04/Sep/18 9:59 am; ahumphrey; @Emre Erkmen Understood... I've told them this is a blocker until we get it, so will keep pushing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Establish benchmark performance metrics for all Marriott brands",,ahumphrey,Development,Highest,"@michaeledowd find below the dropbox link to the Marriott brands social benchmark data:
https://www.dropbox.com/sh/1r8t7j9x0wtfkdr/AAC6gSaYBvh21sm6htEoR5pRa?dl=0

We need you to establish benchmark performance numbers for dev to use on the `Engagements by Brand` widget of the Owned dashboard (see below):
![image](https://user-images.githubusercontent.com/35970545/44759122-2abd4280-ab06-11e8-8f1a-75f4b7ed5e97.png)

**Considerations:**
- The time period for the `Engagements` and `Posts` numbers shown may vary.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Provide Engagement Score calculation for owned posts",,ahumphrey,Development,Highest,"@michaeledowd Sprinklr has confirmed there isn't an `Engagement Rate` score metric in their API for owned posts, so we need to provide a calculation for our dev team to use. When you have this, please share with @Emre Erkmen to ensure there aren't any issues from his side. 

Also looking for a recommendation in terms of score threshold that defines whether a post gets the High Engagement colored flame icon. I believe this will be tied to their performance benchmarks.
Thanks

![image](https://user-images.githubusercontent.com/35970545/44759631-3f4f0a00-ab09-11e8-99b0-673b6712a402.png)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Define calculations for Engagement Averages for Posts widget ",,ahumphrey,Development,Highest,"@michaeledowd The metrics being used on the Y and X axis of this widget (see below) in the Owned dashboard needs to be defined. 
![image](https://user-images.githubusercontent.com/35970545/44760295-2dbb3180-ab0c-11e8-9ad8-83145245da1f.png)

Per our recent discussion, this is what you started to propose:
**Engagement Rate** = Total no. of engagements ÷ No. of followers ÷ No. of posts

**Post Frequency** = ?

Once these have been determined, we should again run by @Emre Erkmen ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Define calculation for Engagement Rate on Engagement Over Reach widget",,ahumphrey,Development,Highest,"@michaeledowd Looking for you to confirm the `Engagement Rate` calculation for the Engagement Over Reach widget (see below) in the Earned dashboard.

Also, per question in #234, can you provide timeframe for Engagement Over Reach (i.e. should the data be sampled from all time?) 

![image](https://user-images.githubusercontent.com/35970545/44760260-fb113900-ab0b-11e8-86e2-e397cfe81cc4.png)


","11/Sep/18 9:09 am; ; Engagement Rate for any platform is the sum of all engagement types (comments, likes, shares, retweets...) divided by the number of followers. Because we cannot get historical data for individual users to the best of my knowledge, all of this data is relative to the single post that we captured (except followers, which is global to the user).

Note that:
1) this calculation isn't TECHNICALLY correct, because people can engage, but not follow, but it would be far too laborious and likely impossible to match up engagements to individual followers.
2) The number will almost never be anywhere close to 86%, so don't worry if you're seeing sub-1% numbers. That said, based on the data that comes in, we should consider changing the UI to support decimals.

As for date ranges, I don't think that All Time is necessary. I would say default to the screen time frame and perhaps set a maximum of the 100 most recent posts (or some other number that keeps the UI clean, but engaging). Let me know if that's enough information or if I'm missing something critical.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Determine threshold score for Influencer posts shown in Earned Dashboard",,ahumphrey,Development,Highest,"@michaeledowd need a recommendation from you as to the influencer score threshold we should have in place for earned posts. Only those above this threshold will be display with the colored in flame icon.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Test sample Demo Pro data with a Marriott Brand to determine algorithm",,ahumphrey,Development,Highest,"@michaeledowd We should use a Marriott brand (suggest W Hotels) when testing the Demographic Pro data. When you have the data sample from @Rich Wagner, please reach out to Brandon so he can begin work creating the brand profiles and mapping the post data with the dashboard scales.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Display a dismissable alert when events/topics endpoint is not working.",brodanoel,eerkmen,Development,Highest,"@Noel Broda, @Brian Weaver has prepared the comp for the dismissable alert here:

https://zpl.io/bevW9Gp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nav: Implement the Hamburger Menu",brodanoel,eerkmen,Development,Highest,"Could not find the older issue for this. @Alan Humphrey @Mark Van Der Hyde I think there was to be a change in the design for here, most likely a button was to be added. Can we start by this current state or should we wait.

Design here: https://zpl.io/VQqqygA","31/Aug/18 8:33 am; mvanderhyde; @Brian Weaver will provide states for this to ensure we're all on the same page, and also remove the old ones entirely from Zeplin","31/Aug/18 1:07 pm; ahumphrey; @Emre Erkmen you are right that an additional button was going to be added to this menu, but currently that relates to the Segmentation Scorecard which the client will likely kill. Just waiting for confirmation on this, so proceed with the current designs provided by @Mark Van Der Hyde @Brian Weaver ","31/Aug/18 3:36 pm; bweaver; @Emre Erkmen @Noel Broda @Mark Van Der Hyde I have an updated state for the open hamburger menu. Here's the progression of the states:
1. Owned selected: https://zpl.io/VQEd5J4
2. Earned selected: https://zpl.io/aX4mvqX After Earned is selected, the menu would slide back and the Earned screen would replace the Owned screen
3. Earned screen: https://zpl.io/2vllDgP

Let me know if there are any other states needed or if anything needs more explanation.

I didn't include Segmentation Scorecard in the menu as that seems likely to not be implemented.
","03/Sep/18 3:17 pm; brodanoel; @Brian Weaver I just deployed an approach of the Menu bar.","03/Sep/18 6:26 pm; brodanoel; Adding @Emre Erkmen here due to he may need to add some logged-user information.
For example: User Name","05/Sep/18 7:50 am; eerkmen; @Noel Broda you can get the users name in the `/api/v1/user` result:

![image](https://user-images.githubusercontent.com/1096880/45091404-07ece880-b11b-11e8-9f5c-75dc96265220.png)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
